v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
-5.263477,0.103281,-5.014602,0.011555
-4.661644,0.103003,-4.183820,0.019825
0.131063,0.086055,2.361679,-0.086221
0.355873,0.094559,2.328267,0.097657
0.523983,0.089768,2.306361,0.006887
0.652428,0.084661,2.285704,0.000295
0.752051,0.080076,2.265278,0.000002
0.830122,0.075966,2.245035,-0.000006
0.891697,0.072264,2.224974,-0.000006
0.940405,0.068911,2.205092,-0.000006
0.978917,0.065861,2.185387,-0.000006
1.009246,0.063075,2.165859,-0.000006
1.032932,0.060519,2.146505,-0.000006
1.051181,0.058168,2.127324,-0.000006
1.064945,0.055996,2.108314,-0.000006
1.074990,0.053986,2.089474,-0.000006
1.081935,0.052119,2.070803,-0.000006
1.086289,0.050381,2.052298,-0.000006
6.421388,0.072477,5.640532,0.254817
7.118840,-0.338713,6.120867,-2.565020
7.731531,0.193516,6.532701,3.161012
8.164554,-0.528802,6.887662,-3.720996
8.392987,-0.318054,7.081488,0.884241
8.381941,-0.140038,7.149450,0.853820
8.130900,0.198988,7.065840,1.799006
7.660803,1.040399,6.844168,3.688599
6.983830,-1.361715,6.454708,-8.928068
6.207939,1.825904,6.002156,8.868768
5.336660,-4.997639,5.447592,-13.101401
4.517883,4.267623,4.949359,14.486009
3.752876,-7.077881,4.503706,-14.322803
3.181293,10.828844,4.084097,19.188807
2.792304,2.201067,3.792647,-8.404387
2.652565,-7.601253,3.679890,-9.924314
2.794223,13.453919,3.727355,19.855325
3.156643,-1.458847,3.876143,-13.436120
3.726500,-0.107628,3.876143,-13.436120
4.456775,0.966304,4.608250,0.972028
5.259914,-8.651531,5.208521,-8.611628
6.056773,1.818796,5.550335,9.239040
6.765483,-7.939367,6.019870,-8.594960
7.315655,-2.087730,6.295247,4.979901
7.655842,2.345694,6.520274,3.899671
7.755748,6.785810,6.606410,4.104131
7.611949,-1.861709,6.493072,-7.646934
7.231666,5.697983,6.269310,6.723988
6.663199,2.868449,5.884209,-2.384000
5.956088,2.923460,5.412725,0.113320
5.189284,-6.325622,4.953094,-8.320829
4.417088,-1.302413,4.367350,4.442978
3.728959,-2.844177,3.913551,-1.415421
3.181551,2.994021,3.485355,5.258222
2.845949,-4.478406,3.253663,-6.689291
2.739935,0.518710,3.088847,4.440125
2.884980,2.648548,3.114091,1.916716
3.267480,-0.903299,3.301638,-3.152090
3.839971,-2.067860,3.301638,-3.152090
4.554887,0.942218,4.022643,2.667356
0.166425,-0.095570,-0.496037,-0.924104
0.930076,-0.108487,0.603332,-0.010990
1.767874,-0.109965,1.815590,-0.000347
2.666297,-0.112481,3.095679,-0.000817
3.606364,-0.114829,4.413437,-0.000350
4.562626,-0.131873,5.731850,-0.013311
5.544517,0.013337,8.659385,0.131266
6.338710,-0.128360,4.949116,-0.122914
6.986683,0.368816,4.949116,-0.122914
7.465303,-1.463777,5.702943,-1.626371
7.714334,1.791084,5.877899,2.875792
7.682528,-0.812200,5.897976,-2.277709
7.338745,1.838723,5.717005,2.346906
6.647258,-0.096569,5.315672,-1.682573
5.603217,1.715544,4.673787,1.612836
4.212316,2.323561,3.804132,0.578552
2.512793,0.334297,2.736461,-1.739709
0.712708,-2.451568,7.107709,-2.490425
-1.350924,-0.206915,-3.118522,1.943441
-3.415503,-0.085333,-6.103603,0.085452
-5.220326,-0.333478,-5.280662,-0.242352
-6.633060,1.279508,-6.188439,1.419406
-7.487007,-1.350218,-6.737789,-2.323654
-7.640769,1.113251,-6.854774,2.155216
-7.031568,-3.853639,-6.503505,-4.403360
-5.644047,3.630698,-5.668032,6.574873
-3.579391,-0.206292,-4.313683,-3.319809
-1.018638,1.165816,-2.665675,1.227988
1.594033,3.849094,-11.296990,2.413871
4.214009,-0.012963,5.634556,-3.357362
6.229512,0.545816,5.634556,-3.357362
7.298437,1.053282,5.842081,0.486984
7.193355,-0.074911,5.803306,-0.978980
5.858168,-1.113536,4.979299,-0.943544
3.441733,2.269163,3.440571,2.956347
0.310887,0.335641,1.916460,-1.742688
-3.017312,-0.148097,-5.187304,-0.489023
-5.816638,1.627928,-5.544720,1.522551
-7.491460,-1.443455,-6.600465,-2.730443
-7.608227,-0.683837,-6.697363,0.629747
-6.082860,-1.726393,-6.697363,0.629747
-3.128636,0.830456,-3.855882,2.315657
