v_dot_hat,omega_dot_hat,v_dot_measured,omega_dot_measured
-0.447534,-0.005237,-0.437453,-0.008471
-0.444022,-0.003900,-0.433586,-0.000386
7.105893,0.003643,6.588456,0.496532
7.052183,-0.096849,6.961498,-1.028462
6.989528,0.077282,6.719445,0.040806
6.925401,0.085288,6.544580,0.840529
0.228170,-0.063779,2.191368,-0.191821
0.209791,-0.030172,0.216708,-0.144229
0.207988,-0.004501,0.210461,-0.012531
0.206233,-0.002247,0.208489,-0.000613
-0.892104,-0.002000,-0.923057,0.016809
-0.884696,-0.005107,-0.915606,-0.016011
-0.877377,-0.002309,-0.907522,-0.001120
-0.870150,-0.002158,-0.899419,-0.000046
2.000750,-0.002535,2.058643,-0.043936
1.984275,0.005628,2.042322,0.041806
1.967710,-0.001664,2.024329,0.002919
1.951068,-0.002040,2.006259,0.000122
7.422136,-0.001602,6.689607,0.033540
7.352522,-0.004748,6.695971,0.167255
7.287851,-0.040632,6.843024,-0.481248
7.222329,0.044586,6.768080,-0.106896
6.489587,0.072341,6.587074,0.641848
6.438424,-0.052712,6.852941,-0.607536
6.385606,0.059990,6.734515,-0.105909
6.333477,0.087879,6.566135,0.603183
-0.869357,-0.025638,1.144412,-0.011692
-0.878781,-0.023792,-0.922825,-0.123465
-0.871770,-0.000163,-0.918964,-0.009538
-0.864774,0.001595,-0.910830,-0.000443
3.504000,0.000188,3.601132,-0.066994
3.476175,0.013656,3.572125,0.063768
3.448583,0.001667,3.540574,0.004415
3.421220,0.001070,3.508957,0.000182
-0.420888,0.002503,-0.460729,0.058632
-0.417516,-0.009059,-0.459364,-0.055782
-0.414150,0.001613,-0.455588,-0.003915
-0.410809,0.002320,-0.451540,-0.000170
0.059858,0.002161,0.034967,-0.007192
0.059418,0.003564,0.034994,0.006839
0.058980,0.002242,0.034723,0.000480
0.058546,0.002141,0.034416,0.000021
3.817023,0.000796,3.914453,-0.057644
3.786788,0.012496,3.882204,0.054885
3.756782,0.002223,3.847821,0.003789
3.727028,0.001757,3.813453,0.000154
-1.742980,0.003944,-1.835683,0.083616
-1.729087,-0.012761,-1.823189,-0.079566
-1.715257,0.002380,-1.807370,-0.005564
-1.701523,0.003299,-1.791255,-0.000237
3.000995,0.001497,3.063603,-0.072034
2.977155,0.015979,3.039645,0.068561
2.953507,0.002995,3.012881,0.004766
2.930082,0.002276,2.985980,0.000198
2.564636,0.002563,2.606161,0.005240
2.544375,0.001684,2.582625,-0.004996
2.524336,0.002804,2.559520,-0.000355
2.504523,0.003026,2.536647,-0.000022
5.725537,0.001416,5.855462,-0.064800
5.682713,0.015000,5.806263,0.063508
5.641528,0.003171,5.754399,0.004109
5.602261,0.002738,5.702994,0.000077
-6.440540,0.010922,-6.705040,0.224079
-6.398135,-0.036416,-6.657537,-0.217187
-6.350732,0.004873,-6.599711,-0.014367
