time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success,omega_dot_raw,omega_dot_filtered,omega_dot_rls,rls_error,rls_skipped,a_g,a_tau,a_omega,a_v,a_0,a_g_nom,a_tau_nom
16.5949999999973,3.0782479363763486,0.277341281718001,-0.0064092359673187166,-4.116001088648324e-08,-1.6035423749548667,-91.87621035529843,6.667717269752353e-07,1.6035423749548667,91.87621035529843,-6.667717269752353e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.5959999999973,3.078241527143545,0.2773412816777778,-0.006409229637849235,-3.9296541670307325e-08,-1.6035423742735766,-91.87621031626338,6.958390277472494e-07,1.6035423742735766,91.87621031626338,-6.958390277472494e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.5969999999973,3.078235117917076,0.2773412816393875,-0.006409223299500862,-3.749429232900773e-08,-1.6035423735631353,-91.8762102755581,7.250670011645137e-07,1.6035423735631353,91.8762102755581,-7.250670011645137e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.597999999997302,3.0782287086969458,0.27734128160276866,-0.0064092169616847315,-3.575358695440923e-08,-1.603542372823403,-91.87621023317455,7.544140600323398e-07,1.603542372823403,91.87621023317455,-7.544140600323398e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.598999999997304,3.078222299483149,0.27734128156785975,-0.006409210633555561,-3.407448569838181e-08,-1.603542372054281,-91.8762101891071,7.838401414903752e-07,1.603542372054281,91.8762101891071,-7.838401414903752e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.599999999997305,3.0782158902756724,0.2773412815345992,-0.006409204324002356,-3.245681546399188e-08,-1.6035423712557093,-91.87621014335232,8.133066758929052e-07,1.6035423712557093,91.87621014335232,-8.133066758929052e-07,1.3962634015954636,80.0,6.494185811644167,-6.494185811644167,1,2.3539162853636458e-07,2.3539162853636458e-07,-1.3639822891086801,1.3639825245003088,0,0.4065158153934221,1.080963255390174,-17.44706364478212,-5.432561939503493,10.458535414429502,27.669526383828885,-2.7652381907046517
16.600999999997306,3.078209481071101,0.27734128149655657,-0.0064092048654098765,-4.341129581113788e-08,-1.6035423704889382,-91.87621009941957,7.219376442372066e-07,1.6035423704889382,91.87621009941957,-7.219376442372066e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.601999999997307,3.0782030718658664,0.2773412814481956,-0.006409205634432104,-5.3108580321893856e-08,-1.6035423698085973,-91.87621006043891,6.402882314487016e-07,1.6035423698085973,91.87621006043891,-6.402882314487016e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.60299999999731,3.078196662659786,0.27734128139072894,-0.00640920654407975,-6.163705226057403e-08,-1.6035423692054223,-91.87621002587952,5.674656026134726e-07,1.6035423692054223,91.87621002587952,-5.674656026134726e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.60399999999731,3.0781902534527568,0.2773412813252828,-0.006409207519331303,-6.908134648621966e-08,-1.6035423686709913,-91.87620999525889,5.026750136249058e-07,1.6035423686709913,91.87620999525889,-5.026750136249058e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.60499999999731,3.078183844244747,0.2773412812529006,-0.0064092084957436965,-7.5522256886743e-08,-1.6035423681976333,-91.87620996813747,4.452081574648333e-07,1.6035423681976333,91.87620996813747,-4.452081574648333e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.605999999997312,3.0781774350357836,0.277341281174547,-0.006409209418237215,-8.103668967541995e-08,-1.6035423677783465,-91.87620994411411,3.9443285037826165e-07,1.6035423677783465,91.87620994411411,-3.9443285037826165e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.606999999997313,3.0781710258259443,0.2773412810911116,-0.006409210240008154,-8.569766130816821e-08,-1.603542367406727,-91.87620992282189,3.4978399833183765e-07,1.603542367406727,91.87620992282189,-3.4978399833183765e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.607999999997315,3.0781646166153505,0.277341281003413,-0.006409210921569222,-8.957432354543708e-08,-1.6035423670769064,-91.87620990392455,3.107556373467287e-07,1.6035423670769064,91.87620990392455,-3.107556373467287e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.608999999997316,3.078158207404159,0.2773412809122025,-0.006409211429903295,-9.273201644141488e-08,-1.603542366783495,-91.8762098871133,2.7689391404586217e-07,1.603542366783495,91.8762098871133,-2.7689391404586217e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.609999999997317,3.0781517981925575,0.277341280818168,-0.0064092117377110855,-9.523234662099076e-08,-1.6035423665215336,-91.87620987210403,2.477909184566809e-07,1.6035423665215336,91.87620987210403,-2.477909184566809e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
16.61099999999732,3.078145388980758,0.27734128072193753,-0.0064092118227420565,-9.713327643786122e-08,-1.6035423662864505,-91.87620985863477,2.2307927090175663e-07,1.6035423662864505,91.87620985863477,-2.2307927090175663e-07,1.3962634015954636,80.0,6.494102723137051,-6.494102723137051,1,2.3183949914091862e-07,2.3183949914091862e-07,-1.3587018316190047,1.3587020634585039,0,0.4071461725429576,1.081419962826128,-17.44741249965637,-5.432494069402341,10.460729594868328,27.669526383828885,-2.7652381907046517
