time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_rad,pitch_ref_deg,tau_cmd,ctrl_cmd,solve_success
13.057999999998202,-2.97917679684562,0.28817600856247955,-0.5112039791802201,-0.00010296442116324145,-1.1619668401150893,-66.57579587274714,0.00551802701530981,1.1619668401150893,66.57579587274714,-0.00551802701530981,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.058999999998202,-2.9796879722828615,0.2881759057776703,-0.511146895162633,-0.00010260715796157499,-1.1619613319358781,-66.57548027732554,0.005498441146641205,1.1619613319358781,66.57548027732554,-0.005498441146641205,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.059999999998201,-2.980199090635675,0.28817580334423926,-0.5110898103333099,-0.00010226166765928924,-1.1619558430135621,-66.57516578524276,0.005479512979046761,1.1619558430135621,66.57516578524276,-0.005479512979046761,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.0609999999982,-2.980710151903275,0.2881757012504055,-0.5110327247450043,-0.0001019279657587332,-1.1619503726911797,-66.57485235885767,0.005461241032540432,1.1619503726911797,66.57485235885767,-0.005461241032540432,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.0619999999982,-2.981221156084927,0.28817559948437405,-0.5109756384436505,-0.0001016060648633132,-1.1619449203132508,-66.57453996061403,0.005443623825411191,1.1619449203132508,66.57453996061403,-0.005443623825411191,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.0629999999982,-2.981732103179938,0.28817549803433873,-0.5109185514691641,-0.00010129597495304131,-1.1619394852257752,-66.57422855304038,0.005426659880210514,1.1619394852257752,66.57422855304038,-0.005426659880210514,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.063999999998199,-2.9822429931876524,0.2881753968884846,-0.5108614638561417,-0.00010099770363984985,-1.1619340667762261,-66.57391809874973,0.005410347728973319,1.1619340667762261,66.57391809874973,-0.005410347728973319,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.064999999998198,-2.9827538261074475,0.2881752960349901,-0.5108043756344732,-0.00010071125640262338,-1.1619286643135378,-66.5736085604387,0.005394685917768857,1.1619286643135378,66.5736085604387,-0.005394685917768857,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.065999999998198,-2.9832646019387274,0.28817519546202924,-0.5107472868298771,-0.00010043663680401688,-1.1619232771880899,-66.57329990088684,0.0053796730106661925,1.1619232771880899,66.57329990088684,-0.0053796730106661925,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
13.066999999998197,-2.9837753206809206,0.28817509515777334,-0.5106901974643695,-0.00010017384669219909,-1.1619179047516872,-66.57299208295525,0.005365307593188621,1.1619179047516872,66.57299208295525,-0.005365307593188621,1.3962634015954636,80.0,-0.005158435950473324,0.005158435950473324,1
