time,x,z,x_dot,z_dot,raw_pitch_rad,raw_pitch_deg,raw_pitch_dot,pitch_rad,pitch_deg,pitch_dot,pitch_ref_cmd_rad,pitch_ref_cmd_deg,pitch_ref_target_rad,pitch_ref_target_deg,tau_cmd,ctrl_cmd
1.3829999999999585,-0.6050225785795104,0.15106931844490243,3.339225598896801,0.0170281341394937,-0.000899033451206727,-0.051510822395226086,-0.09792250621586528,0.000899033451206727,0.051510822395226086,0.09792250621586528,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3839999999999584,-0.6016811739706085,0.15108531859486374,3.343583795388053,0.014969963661518784,-0.0009907891041362003,-0.056768034054552094,-0.08560336097443907,0.0009907891041362003,0.056768034054552094,0.08560336097443907,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3849999999999583,-0.5983354106494438,0.15109925413627437,3.3479430097023224,0.012899078617095766,-0.0010702679582679398,-0.06132183695683667,-0.07336761900775553,0.0010702679582679398,0.06132183695683667,0.07336761900775553,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3859999999999582,-0.5949852876394753,0.15111111282610648,3.3523031592352743,0.010816409354407242,-0.0011375496422405095,-0.06517679348699791,-0.061207822115162486,0.0011375496422405095,0.06517679348699791,0.061207822115162486,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.386999999999958,-0.5916308040467337,0.15112088331442058,3.356664161585464,0.008722812596081863,-0.0011927065934944977,-0.06833705400466024,-0.04911704008042075,0.0011927065934944977,0.06833705400466024,0.04911704008042075,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.387999999999958,-0.5882719590592342,0.15112855507335576,3.3610259352962513,0.006619076606791657,-0.0012358045685870178,-0.07080638608302159,-0.037088835713191715,0.0012358045685870178,0.07080638608302159,0.037088835713191715,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3889999999999578,-0.5849087519457243,0.15113411833110146,3.365388400447755,0.004505925994332078,-0.0012669031196641594,-0.07258820180871382,-0.025117232096931397,0.0012669031196641594,0.07258820180871382,0.025117232096931397,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3899999999999577,-0.5815411820539048,0.15113756401049983,3.369751479121465,0.0023840261741578366,-0.0012860560392210067,-0.07368558326467475,-0.013196681892242157,0.0012860560392210067,0.07368558326467475,0.013196681892242157,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3909999999999576,-0.5781692488082416,0.15113888367195552,3.374115095757073,0.00025398752411547,-0.0012933117751353412,-0.07410130630982761,-0.0013220385592290825,0.0012933117751353412,0.07410130630982761,0.0013220385592290825,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3919999999999575,-0.5747929517074679,0.15113806946035543,3.3784791774183893,-0.0018836307466771275,-0.0012887138178310678,-0.0738378627619114,0.010511470625149401,0.0012887138178310678,0.0738378627619114,-0.010511470625149401,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3929999999999574,-0.5714122903218593,0.15113511405572347,3.382843653982908,-0.004028316993263389,-0.0012723010613088655,-0.07289748108301339,0.022308269868069105,0.0012723010613088655,0.07289748108301339,-0.022308269868069105,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3939999999999573,-0.5680272642903523,0.15113001062735584,3.387208458267548,-0.006179603775135083,-0.0012441081396729527,-0.07128214566113253,0.034072458584277716,0.0012441081396729527,0.07128214566113253,-0.034072458584277716,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3949999999999572,-0.5646378733175649,0.1511227527912012,3.3915735261013458,-0.008337064723737278,-0.0012041657406828652,-0.06899361477537291,0.04580783363803132,0.0012041657406828652,0.06899361477537291,-0.04580783363803132,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.395999999999957,-0.5612441171707659,0.15111333457026624,3.395938796354349,-0.010500311621137534,-0.0011525008977666855,-0.06603343732706944,0.057517910192556095,0.0011525008977666855,0.06603343732706944,-0.057517910192556095,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.396999999999957,-0.5578459956768359,0.1511017503578434,3.400304210930634,-0.012668991675199144,-0.0010891372618463116,-0.062402968414228474,0.06920594124983226,0.0010891372618463116,0.062402968414228474,-0.06920594124983226,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3979999999999568,-0.5544435087192479,0.15108799488337057,3.404669714732225,-0.014842784977819368,-0.0010140953542453627,-0.05810338382208341,0.08087493595798928,0.0010140953542453627,0.05810338382208341,-0.08087493595798928,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3989999999999567,-0.5510366562350979,0.1510720631807464,3.4090352555996883,-0.017021402133884523,-0.0009273928018755616,-0.053135693498281816,0.09252767675863255,0.0009273928018755616,0.053135693498281816,-0.09252767675863255,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.3999999999999566,-0.5476254382122041,0.15105395055893595,3.4134007842343257,-0.01920458204954975,-0.000829044555827366,-0.04750075407720603,0.10416673544198234,0.000829044555827366,0.04750075407720603,-0.10416673544198234,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.724217013111673,4.724217013111673
1.4009999999999565,-0.5441776414333725,0.15105986961171536,3.4821860685116723,0.03108078943078113,-0.0008643169330944694,-0.049521712428004246,-0.17446378275207003,0.0008643169330944694,0.049521712428004246,0.17446378275207003,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4019999999999564,-0.5406932563599214,0.1510899559257818,3.4865843064172335,0.02908921493540446,-0.001032603653710722,-0.059163831267412745,-0.1621279838180533,0.001032603653710722,0.059163831267412745,0.1621279838180533,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4029999999999563,-0.5372044723791704,0.15111804300255297,3.490983868230685,0.02708251513867002,-0.0011886079238155815,-0.06810221753044012,-0.14989731232407885,0.0011886079238155815,0.06810221753044012,0.14989731232407885,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4039999999999562,-0.5337112882122883,0.1511441163014875,3.495384663485431,0.025061844002695646,-0.0013324302770393185,-0.07634263136979999,-0.1377626912646975,0.0013324302770393185,0.07634263136979999,0.1377626912646975,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.404999999999956,-0.530213702671621,0.15116816239047226,3.4997866005009035,0.02302826552039001,-0.001464162494314513,-0.08389033144556898,-0.12571568494732363,0.001464162494314513,0.08389033144556898,0.12571568494732363,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.405999999999956,-0.5267117146613274,0.151190168859065,3.504189587499524,0.02098276005854808,-0.0015838882237663335,-0.09075011044228344,-0.11374845661761276,0.0015838882237663335,0.09075011044228344,0.11374845661761276,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4069999999999558,-0.5232053231770071,0.15121012423784594,3.5085935335125815,0.018926230240115735,-0.0016916835596033383,-0.09692632823693913,-0.10185372880002105,0.0016916835596033383,0.09692632823693913,0.10185372880002105,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4079999999999557,-0.5196945273045153,0.15122801792343823,3.5129983491062244,0.016859506405523722,-0.0017876175826227448,-0.102422942867662,-0.09002474615494958,0.0017876175826227448,0.102422942867662,0.09002474615494958,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4089999999999556,-0.5161793262181291,0.15124384010879408,3.51740394695455,0.01478335168836645,-0.0018717528647565166,-0.10724353944206957,-0.07825524067529292,0.0018717528647565166,0.10724353944206957,0.07825524067529292,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
1.4099999999999555,-0.5126597191782082,0.15125758171837686,3.52181024228314,0.012698466736747831,-0.0019441459399167462,-0.11139135711472409,-0.0665393990633052,0.0019441459399167462,0.11139135711472409,0.0665393990633052,1.3962634015954636,80.0,1.3962634015954636,80.0,-4.779905072444697,4.779905072444697
