episode,x,gp_v_pred,gp_v_std,gp_w_pred,gp_w_std
0,2.033613445378151,-1.4994892850954606,81.07045555180059,0.10731654959580084,81.07045555180059
0,2.0798319327731094,-1.4124539947287538,81.0931000293287,0.10349570425484345,81.0931000293287
0,2.1260504201680672,-1.3245268159801888,81.1135503008269,0.09904061109578777,81.1135503008269
0,2.1722689075630255,-1.2365314269006191,81.13188996342352,0.09413298677271698,81.13188996342352
0,2.2184873949579833,-1.1492379250991895,81.14821511133529,0.08892549722581045,81.14821511133529
0,2.264705882352941,-1.063353162268978,81.16263448660598,0.08354497441775344,81.16263448660598
0,2.3109243697478994,-0.97951313048965,81.17526836806427,0.07809555287527203,81.17526836806427
0,2.357142857142857,-0.8982774483026823,81.18624651301214,0.07266165046451434,81.18624651301214
0,2.4033613445378155,-0.8201259267446677,81.19570546929849,0.06731073847005398,81.19570546929849
0,2.4495798319327733,-0.7454571339181175,81.20378555678865,0.062095865022822494,81.20378555678865
0,2.495798319327731,-0.6745888231917316,81.21062778193405,0.05705791257012116,81.21062778193405
0,2.5420168067226894,-0.6077600460415127,81.21637090272023,0.05222758422175389,81.21637090272023
0,2.588235294117647,-0.545134736732269,81.22114880910162,0.047627125199719345,81.22114880910162
0,2.634453781512605,-0.48680653278846897,81.22508833096973,0.04327179433042794,81.22508833096973
0,2.6806722689075633,-0.43280458233060415,81.22830753572715,0.03917110665895329,81.22830753572715
0,2.726890756302521,-0.3831000862865963,81.23091453362946,0.03532987206520222,81.23091453362946
0,2.773109243697479,-0.3376133292656167,81.23300677312234,0.03174905655403304,81.23300677312234
0,2.819327731092437,-0.2962209663086064,81.23467078133544,0.02842649298700639,81.23467078133544
0,2.865546218487395,-0.2587633524090309,81.23598228672292,0.025357466814776686,81.23598228672292
0,2.9117647058823533,-0.22505172615171176,81.23700665089457,0.022535200194979232,81.23700665089457
0,2.957983193277311,-0.19487508653734942,81.23779953380505,0.019951255082662378,81.23779953380505
0,3.004201680672269,-0.16800663159975304,81.23840771922868,0.017595872757642184,81.23840771922868
0,3.050420168067227,-0.14420965744806402,81.23887003431074,0.015458264045913328,81.23887003431074
0,3.096638655462185,-0.12324284569548372,81.23921830647633,0.01352686141295445,81.23921830647633
0,3.1428571428571432,-0.10486489488035433,81.23947831177709,0.011789541291082895,81.23947831177709
